Supplier Name,Supplier Group,Supplier Type,Email,Mobile
TechSource Global,All Supplier Groups,Company,procurement@techsource.com,+1-555-0201
OfficePro Wholesale,All Supplier Groups,Company,sales@officepro.com,+1-555-0202
Nordic Components,All Supplier Groups,Company,orders@nordiccomp.com,+1-555-0203
Apex Manufacturing,All Supplier Groups,Company,biz@apexmfg.com,+1-555-0204
Pacific Electronics,All Supplier Groups,Company,trading@pacificelec.com,+1-555-0205
GreenSupply Co,All Supplier Groups,Company,hello@greensupply.com,+1-555-0206
Vertex Logistics,All Supplier Groups,Company,freight@vertexlog.com,+1-555-0207
Atlas Distribution,All Supplier Groups,Company,supply@atlasdist.com,+1-555-0208
Precision Parts Inc,All Supplier Groups,Company,mfg@precisionparts.com,+1-555-0209
Cascade Imports,All Supplier Groups,Company,trade@cascadeimports.com,+1-555-0210
