Item Code,Item Name,Item Group,Stock UOM,Standard Rate
PRD-1001,Ergonomic Standing Desk,Office Furniture,Nos,599.99
PRD-1002,Mechanical Keyboard Pro,Electronics,Nos,149.99
PRD-1003,Wireless Mouse MX,Electronics,Nos,79.99
PRD-1004,Monitor Arm Dual,Office Furniture,Nos,129.99
PRD-1005,LED Desk Lamp,Office Furniture,Nos,49.99
PRD-1006,USB-C Hub 7-in-1,Electronics,Nos,59.99
PRD-1007,Noise Cancelling Headphones,Electronics,Nos,249.99
PRD-1008,Ergonomic Office Chair,Office Furniture,Nos,449.99
PRD-1009,Whiteboard 48x36,Office Supplies,Nos,89.99
PRD-1010,Webcam 4K Ultra,Electronics,Nos,129.99
PRD-1011,Desk Organizer Set,Office Supplies,Nos,34.99
PRD-1012,Portable Bluetooth Speaker,Electronics,Nos,69.99
PRD-1013,Standing Desk Mat,Office Furniture,Nos,39.99
PRD-1014,Cable Management Kit,Office Supplies,Nos,24.99
PRD-1015,Laptop Stand Adjustable,Office Furniture,Nos,54.99
